汉字	声、韵	调	是否白读	注释
卑	pi	44		
碑	pi	44		
婢	pi	44		
□	pi	44		一种吸牛血的蝇虫
啤	pi	24		
脾	pi	24		
比	pi	53		
妣	pi	53		
彼	pi	53		
俾	pi	53		
秘	pi	53		
匕	pi	53		
鳖	pi	53	白读	
□	pi	53		枪毙
备	pi	11		
闭	pi	11		
痹	pi	11		
疪	pi	11		
篦	pi	11		～麻
避	pi	11		
批	pʰi	44		
砒	pʰi	44		
丕	pʰi	44		
坯	pʰi	44		
披	pʰi	44		
□	pʰi	44		以刀捎物
皮	pʰi	24		
疲	pʰi	24		
脾	pʰi	24		又读
鄙	pʰi	53		
痞	pʰi	53		
譬	pʰi	53		
□	pʰi	53		结～：伤口钙化
被	pʰi	31		棉～
被	pʰi	11		～动
鼻	pʰi	11	白读	
咪	bi	44		笑～～
□	bi	44		呼小鸭声
微	bi	24		
篾	bi	24	白读	做～
米	bi	53		
美	bi	53		
未	bi	11		
味	bi	11		
□	bi	11		将头没入水中
知	ti	44		
蜘	ti	44		
池	ti	24		
驰	ti	24		
迟	ti	24		
弛	ti	24		
墀	ti	24		
碟	ti	24	白读	
底	ti	53		
抵	ti	53		
滴	ti	53	白读	～水
弟	ti	31	白读	小～
治	ti	31		
置	ti	31		
智	ti	31		
致	ti	31		
稚	ti	31		
蒂	ti	11		
戴	ti	11	白读	～帽
梯	tʰi	44		～队
啼	tʰi	24		
雉	tʰi	24		
耻	tʰi	53		
剃	tʰi	53		
铁	tʰi	53	白读	拍～：打铁
替	tʰi	11		
涕	tʰi	11		
递	tʰi	11		
离	li	24		
篱	li	24		
漓	li	24		
璃	li	24		
厘	li	24		
狸	li	24		
笠	li	24	白读	～斗
裂	li	24	白读	～裂开
犁	li	24		
梨	li	24		
里	li	53		
俚	li	53		
浬	li	53		
娌	li	53		
理	li	53		
鲤	li	53		
李	li	53		
利	li	11		
痢	li	11		
莉	li	11		
俐	li	11		
吏	li	11		
之	t͡si	44		
芝	t͡si	44		
脂	t͡si	44		～肪
舌	t͡si	24	白读	喙～
□	t͡si	24		折断
止	t͡si	53		
址	t͡si	53		
旬	t͡si	53		
指	t͡si	53	白读	
子	t͡si	53	白读	
籽	t͡si	53		
姐	t͡si	53		
接	t͡si	53	白读	～侬客：迎接客人
舐	t͡si	31	白读	
志	t͡si	11		
痣	t͡si	11		
至	t͡si	11		
鳍	t͡sʰi	44		
□	t͡sʰi	44		食品下热锅声
持	t͡sʰi	24		
翅	t͡sʰi	24		
□	t͡sʰi	53		低头
□	t͡sʰi	53		闪～：闪电
齿	t͡sʰi	53		
市	t͡sʰi	31		
刺	t͡sʰi	11		
饲	t͡sʰi	11		～猪：喂猪，养猪
尸	si	44		
诗	si	44		
丝	si	44		
鸶	si	44		
私	si	44	白读	家～：家产
撕	si	44	白读	～布
蛳	si	44	白读	螺～
施	si	44		～舍
时	si	24		
鲥	si	24		
匙	si	24		
蚀	si	24	白读	～本
辞	si	24		
死	si	53	白读	
始	si	53	白读	
是	si	31		
氏	si	31		
恃	si	31		
痔	si	31		
峙	si	31		
寺	si	11		
侍	si	11		
示	si	11		
驷	si	11		
肆	si	11		
四	si	11		
豉	si	11		豆～
□	zi	24		按
儿	zi	24		～子
而	zi	24		～且
字	zi	11		
二	zi	11		
贰	zi	11		
腻	zi	11		细～：省，节约
饵	zi	11		鱼～
几	ki	44		
饥	ki	44		
机	ki	44		
肌	ki	44		
矶	ki	44		
叽	ki	44		
支	ki	44		
枝	ki	44		
肢	ki	44		
吱	ki	44		
基	ki	44		
箕	ki	44		
姬	ki	44		
既	ki	44		
奇	ki	24		
骑	ki	24		
其	ki	24		
期	ki	24		
棋	ki	24		
旗	ki	24		
琪	ki	24		
祈	ki	24		
祁	ki	24		
歧	ki	24		
鳍	ki	24		
几	ki	53		～个
己	ki	53		
杞	ki	53		
纪	ki	53		
技	ki	31		
伎	ki	31		
妓	ki	31		
记	ki	11		
忌	ki	11		
欺	kʰi	44		
蜞	kʰi	24		岳～：蚂蟥
岂	kʰi	53		
起	kʰi	53		
齿	kʰi	53	白读	牙～
柿	kʰi	31		
企	kʰi	31		
气	kʰi	11		
汽	kʰi	11		
弃	kʰi	11		
器	kʰi	11		
宜	ɡi	24		
谊	ɡi	24		
仪	ɡi	24		
疑	ɡi	24		
议	ɡi	53		
蚁	ɡi	53		
拟	ɡi	53		
□	ɡi	53		指
义	ɡi	11		
希	hi	44		
稀	hi	44		
牺	hi	44		
熙	hi	44		
熹	hi	44		
禧	hi	44		
嬉	hi	44		
喜	hi	53		
耳	hi	31	白读	～空：耳朵
戏	hi	11		
衣	i	44		
依	i	44		
伊	i	44		
医	i	44		
夷	i	24		
姨	i	24		
胰	i	24		
怡	i	24		
贻	i	24		
饴	i	24		
唯	i	24		
维	i	24		
惟	i	24		
潍	i	24		
彝	i	24		
颐	i	24		
移	i	24		
已	i	53		
以	i	53		
椅	i	53		
倚	i	53		
矣	i	31		
□	i	31		阿～：祖父
亿	i	11		
乜	i	11		
肄	i	11		～业
意	i	11		
臆	i	11		～造
易	i	11		容～
异	i	11		～己
□	pu	44		亲小儿
□	pu	24		把食物直接放在火堆中烧熟
瓠	pu	24		葫芦
